video_id,title,views,publishedAt,durationSec,channel_id,channel_title,channel_url,watch_url
m-2c-LsXxXw,"[속보] 손흥민 힐킥 어시스트 미쳤다 ""MLS 역사상 난생 처음 보는 기술"" 경기장 모두를 속여버린 뒷발 패스 한방에 현지 중계진 경악 미국 전역 뒤집혔다",247951,2025-08-17T04:44:20Z,571,UCuHi3SKxaVVhZPyXibILqAA,풋볼 랭킹,https://www.youtube.com/channel/UCuHi3SKxaVVhZPyXibILqAA,https://www.youtube.com/watch?v=m-2c-LsXxXw
BQRF6njjvkk,"""손흥민을 쏘니라고 부르다니 불쾌하다"" MLS 중계 황당 논란",242284,2025-08-14T06:12:19Z,38,UCf3dyXI8Q67jkUSsX4MD6CQ,대흥민 갤러리,https://www.youtube.com/channel/UCf3dyXI8Q67jkUSsX4MD6CQ,https://www.youtube.com/watch?v=BQRF6njjvkk
4YyZsNynGR8,"""PK 안 찬 진짜 이유는..."" 손흥민이 얻어낸 PK를 차지 않고 양보한 상황에 대해, 미국 기자들 질문세례 퍼붓자, LAFC감독 참다못해 던진 한마디에 기자회견장 아수라장",237329,2025-08-11T23:55:08Z,491,UCL2StfHxRLorkzSdzxXqadg,풋볼매거진,https://www.youtube.com/channel/UCL2StfHxRLorkzSdzxXqadg,https://www.youtube.com/watch?v=4YyZsNynGR8
4R8SKbc5akc,"레전드 여자축구 선수들의 손흥민 뒷담화 ""쏘니 봤어? 잘생긴데다가 말도 너무 잘하잖아!!""",237059,2025-08-11T08:49:10Z,454,UCHK2xITEBE2xQl49mDwAgvQ,데일리서치_새채널,https://www.youtube.com/channel/UCHK2xITEBE2xQl49mDwAgvQ,https://www.youtube.com/watch?v=4R8SKbc5akc
5VkyzZOBUiY,손흥민 미쳤다! 미국축구 찢었다!  1도움 폭발 손흥민 원맨쇼 최고평점 폭발 환상적 손흥민 미친 선발데뷔전,236901,2025-08-17T01:32:01Z,515,UCv5uXet9sMVfwBiotc0B_wA,제자르,https://www.youtube.com/channel/UCv5uXet9sMVfwBiotc0B_wA,https://www.youtube.com/watch?v=5VkyzZOBUiY
Mywl0soBgNk,"""손흥민도 없는데.."" 손흥민 300억에 팔아먹고 좋다고 희희낙락하던 레비, 막상 선수영입하려하자 1류 선수들 모두 고개 저으며 토트넘 문전박대하자 레비회장 혼절",236811,2025-08-13T03:43:39Z,482,UC6lUwSSWz_elt4bf8CvGEvw,더스포츠,https://www.youtube.com/channel/UC6lUwSSWz_elt4bf8CvGEvw,https://www.youtube.com/watch?v=Mywl0soBgNk
5nFJ0BRH1V4,손흥민 선발 데뷔전!! LA FC vs 뉴잉글랜드 : 손흥민 데뷔골 나올까?,233653,2025-08-17T03:31:26Z,16031,UCdh5nloZ9eo5YpZ2DRWwIew,새벽의 축구 전문가,https://www.youtube.com/channel/UCdh5nloZ9eo5YpZ2DRWwIew,https://www.youtube.com/watch?v=5nFJ0BRH1V4
JWEFMfyyX-8,손흥민 덕분에 대반전 맞은 선수 “퇴출직전에 완전 인생 역전되었다” LAFC 팬들까지 놀란 반전,232110,2025-08-13T09:12:00Z,480,UCZPsB5mhxaywnWiE6WWfFSw,풀앤푸시(Pull&Push),https://www.youtube.com/channel/UCZPsB5mhxaywnWiE6WWfFSw,https://www.youtube.com/watch?v=JWEFMfyyX-8
1FSJy-gXocE,"손흥민 LA팬 전폭적 지지 속 상대 선수마저 ""세계 최고"" - LAFC의 새로운 풍경과 대통합 상징",228006,2025-08-14T09:57:51Z,871,UCqzNZeBt0546jG-vDlAQlZg,스토리K - 축구in 인문학 by kei,https://www.youtube.com/channel/UCqzNZeBt0546jG-vDlAQlZg,https://www.youtube.com/watch?v=1FSJy-gXocE
ISTTOM2xzKM,"손흥민, 혼자서도 한 팀을 무너뜨렸다 — 뉴잉글랜드 감독의 충격 고백에 미국 언론 발칵  #손흥민 #MLS #LAFC",227868,2025-08-17T05:00:02Z,781,UCwy1wo1d7lDk6YN6RvF92Kw,KBO 뉴스,https://www.youtube.com/channel/UCwy1wo1d7lDk6YN6RvF92Kw,https://www.youtube.com/watch?v=ISTTOM2xzKM
